Ano,Trimestre,Categoria,Tipo,CNPJ,Instituição financeira,Índice,Quantidade de reclamações reguladas procedentes,Quantidade de reclamações reguladas - outras,Quantidade de reclamações não reguladas,Quantidade total de reclamações,Quantidade total de clientes CCS e SCR,Quantidade de clientes CCS,Quantidade de clientes SCR
2021,1º,Top 10,Conglomerado, ,SANTANDER (conglomerado),"31,38",1611,3279,1706,6596,51331984,42880457,25493933
2021,1º,Grupo Secundário,Banco/financeira,122327,"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS", ,1,2,0,3,14370,634,13736
2021,1º,Grupo Secundário,Banco/financeira,7747410,"SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,2,4,2,8,853173, ,853173
2021,1º,Grupo Secundário,Conglomerado, ,SICREDI (conglomerado), ,0,0,1,1,5562671,5541402,177298
2021,1º,Grupo Secundário,Banco/financeira,3881423,"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,0,1,5,6,3398,1813,1585
2021,1º,Grupo Secundário,Conglomerado, ,SOFISA (conglomerado), ,25,17,26,68,314921,306391,14980
2021,1º,Grupo Secundário,Conglomerado, ,SOROCRED (conglomerado), ,12,21,21,54,720886,1196,719752
2021,1º,Grupo Secundário,Conglomerado, ,UBS (conglomerado), ,0,3,1,4,0,0, 
2021,1º,Grupo Secundário,Banco/financeira,5192316,"VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS", ,0,2,2,4,412934,1008,411929
2021,1º,Grupo Secundário,Conglomerado, ,VOLKSWAGEN (conglomerado), ,24,14,35,73,377032,1196,376129
2021,1º,Grupo Secundário,Conglomerado, ,VOLVO (conglomerado), ,0,0,1,1,7736,88,7727
2021,1º,Top 10,Conglomerado, ,VOTORANTIM (conglomerado),"4,57",69,428,206,703,15074861,11512143,4668540
2021,1º,Grupo Secundário,Conglomerado, ,WESTERN UNION (conglomerado), ,3,0,0,3,1,1, 
2021,1º,Grupo Secundário,Banco/financeira,23862762,"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,16,15,17,48,1548186,1546806,314656
2021,1º,Grupo Secundário,Conglomerado, ,YAMAHA MOTOR (conglomerado), ,6,4,7,17,197837,61,197782
2021,2º,Demais bancos e financeiras,Conglomerado, ,ABC-BRASIL (conglomerado), ,0,2,0,2,28022,26485,3921
2021,2º,Demais bancos e financeiras,Conglomerado, ,AGIBANK (conglomerado),"59,49",68,205,84,357,1142941,868256,756080
2021,2º,Demais bancos e financeiras,Banco/financeira,36321990,"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,2,4,1,7,433738,130,433608
2021,2º,Demais bancos e financeiras,Banco/financeira,27214112,"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,1,1,1,3,15074,6675,11288
2021,2º,Demais bancos e financeiras,Conglomerado, ,ALFA (conglomerado), ,19,32,16,67,416540,268174,149521
2021,2º,Demais bancos e financeiras,Conglomerado, ,ANDBANK (conglomerado), ,0,2,3,5,4320,4320,44
2021,2º,Demais bancos e financeiras,Banco/financeira,3532415,BANCO ABN AMRO S.A., ,0,0,1,1,76,54,23
